Asian_Incarcerated,White_Incarcerated,Black_Incarcerated,Hispanic_Incarcerated,Native_Incarcerated
706.1722162,40389.8722953,30768.9619689,3267.570008,319.257351
705.6987841,5412.4381805,352.9535677,694.5901887,2163.2316833
2446.2138433,44883.818236,5168.3371522,41399.8828077,6349.9551626
582.7080074,26399.5186162,12273.8879856,3591.0980419,217.5935286
40443.0175334,109211.092393,31440.3250128,183171.0949436,1464.1592106
2303.7282568,48515.746142100004,5164.0380772,25889.5820238,563.2977415
1661.2857255000001,19550.3207534,9999.6990595,13117.229588,75.4486264
516.0316929,10063.4266111,6251.9025164,2031.3798728000002,55.6065685
548.087171,4865.7472227,13484.5540523,1862.0700097000001,30.3564837
7137.7450839,165446.5304025,91038.5374346,73510.7868188,824.2919971
5521.4821764,94692.2094987,89792.92858590001,20353.8404744,368.0324796
4391.0910282,2947.5394281,208.1524513,1482.4587894000001,18.0673292
287.7017331,16722.5378231,164.2106325,3270.6568491000003,367.2805808
5153.8799563,58443.6319717,57298.8473506,27212.5240921,204.6450642
1466.6072473,64784.5357432,19199.9947156,8833.4135713,194.9133971
695.9092835,18333.3139216,1840.6785528,2317.1831502,90.496528
1018.606941,21088.654033900002,4300.3743286,6297.9874424,225.4799136
707.272341,49382.119614100004,9111.2180524,2533.2755783000002,112.9551884
1176.8749702,39812.4357407,41569.6884206,4101.3804757,456.0719067
103.11394680000001,8499.2651198,189.3953624,166.640076,55.354241800000004
3444.6732064000003,33590.1186759,43587.196331,8388.3553717,190.54879880000001
2349.1591905,22791.3025837,5542.9317116,8721.4193613,95.77954270000001
2226.7283166,63455.631162800004,37385.9350607,7704.8246515,524.3133987
2397.4288815,24541.104487700002,4436.8088182,2925.9485389,821.7959036000001
468.0913947,26211.7859117,25796.516578,1626.5716929,202.0010847
1511.1297679000002,58725.8309069,22702.554842100002,4293.7201065,338.5992824
64.3384887,7747.3854398,47.9157447,431.5198328,1503.0504090000002
575.5085361,11258.4813933,2522.0025075,2864.0256347,230.0865871
3011.7166444,18962.8828573,4810.6960181,16029.3226352,362.9571826
230.0987135,9082.4604703,157.03530510000002,531.6601204,18.9584933
5606.030572000001,30995.5851025,29337.126977800002,27099.6009152,136.9048533
312.5635833,9902.9069666,605.7226255,16962.9944759,3328.158453
10251.9707872,65964.2507435,60277.092459600004,49152.0427404,658.0316406000001
3193.883253,76321.2611566,46651.8337821,15717.594713800001,2020.2567157
75.5418685,3822.4594216,133.9199537,157.716721,607.6727629
2289.3789271,90934.1948535,43299.7777757,6811.2176182,270.05498140000003
950.8856254,34506.5861967,7877.6128383000005,8430.3930314,4338.0558114
1464.565043,31084.5012619,1065.1623909,6591.9424262,565.7619274
5336.6146765,89631.0089194,47382.4299248,20473.5912844,241.5829736
0.0,0.0,0.0,0.0,0.0
97.5157614,1469.7742736,245.5015651,742.6399076,20.598145600000002
967.7649881,47170.4658007,33104.740982100004,5216.4586011,240.8314292
117.3388218,5759.952531100001,160.7633963,343.8261802,1350.6611295
1496.5331845,72574.4524088,34825.928889,7240.0954123,266.1858671
15887.6488076,175613.901206,87196.2371464,216224.10810080002,1152.358504
693.1506222,18451.3469414,407.5789158,5336.9207281,374.5008262
116.17401819999999,4620.4660331000005,103.8539798,88.0337279,14.8100558
5035.0777701,73987.7535284,46813.477793800004,12008.8721072,323.5457977
5418.6722335,47111.3605516,3553.8205418000002,11944.7456392,1055.2718786
131.2742952,16761.9367057,951.8471138,307.7961333,31.908761600000002
1975.9066301,39072.5438373,14674.6687982,6970.8113941,946.5529616
53.6321748,5148.9336903,87.46480960000001,702.051797,158.6773861
